image,slice,bjd_tdb,hours_since_first_image,relative_brightness_all_comparisons,relative_brightness_working_set,relative_brightness_error,sky_counts_per_pixel,star_width_pixels,airmass,working_comparison_counts,target_x_fits,target_y_fits,review_point,review_reason
TOI_3505.01_50.000s_R-0189_aligned.fits,189,2459782.7400401402,3.4033279046,1.0015134968,1.0029439508,0.0018776583,436.0064740620,20.3210949963,1.0781643590,6179873.9660654515,1848.8462717097,1743.1388679061,False,
TOI_3505.01_50.000s_R-0190_aligned.fits,190,2459782.7407929031,3.4213942140,1.0037977118,1.0047988950,0.0018828401,437.5936926134,19.9734481291,1.0788880444,6171391.7164166495,1848.7494794535,1743.2271988439,False,
TOI_3505.01_50.000s_R-0191_aligned.fits,191,2459782.7415451775,3.4394487999,1.0041705691,1.0039104869,0.0019074731,442.5826992911,19.9066276873,1.0796312299,6101697.6499907374,1850.7060292349,1743.0712007999,False,
TOI_3505.01_50.000s_R-0192_aligned.fits,192,2459782.7422982855,3.4575233907,0.9978140331,0.9991606924,0.0018907846,441.0779671962,19.7507478336,1.0803952994,6147366.2162236189,1847.5649848063,1743.1408698440,False,
TOI_3505.01_50.000s_R-0193_aligned.fits,193,2459782.7430506404,3.4755799100,1.0009811067,0.9998548943,0.0018759737,439.1473979957,20.0709418288,1.0811787124,6195505.8990940778,1853.7648476696,1743.2251140302,False,
TOI_3505.01_50.000s_R-0194_aligned.fits,194,2459782.7438030676,3.4936381616,1.0002474971,1.0007649255,0.0018500187,435.6311409529,20.1821002501,1.0819823682,6282513.4446204444,1848.2901111106,1742.6902033315,False,
TOI_3505.01_50.000s_R-0195_aligned.fits,195,2459782.7445556736,3.5117007047,1.0008874125,1.0017603741,0.0018523901,436.8460356823,19.9730550324,1.0828064602,6282244.5276694959,1850.5869741669,1743.2742970205,False,
TOI_3505.01_50.000s_R-0196_aligned.fits,196,2459782.7453087107,3.5297735967,1.0021163171,1.0041052170,0.0018495651,436.0481860435,19.5777488123,1.0836513607,6296088.4758532681,1848.4680679593,1742.7777309056,False,
TOI_3505.01_50.000s_R-0197_aligned.fits,197,2459782.7460613889,3.5478378721,1.0014400091,1.0029343839,0.0018499120,437.3267160148,20.1284526113,1.0845162591,6298693.5280204676,1849.1181252712,1743.1909549665,False,
TOI_3505.01_50.000s_R-0198_aligned.fits,198,2459782.7468153709,3.5659334399,0.9986628614,0.9995036150,0.0018521991,438.6035798927,19.5650983091,1.0854031804,6290389.7678203871,1849.2889217942,1742.9410114436,False,
TOI_3505.01_50.000s_R-0199_aligned.fits,199,2459782.7475679070,3.5839943066,0.9989608246,0.9998004160,0.0018643323,441.0179607994,19.5406614084,1.0863089604,6253319.9182193261,1848.9966529209,1743.2027424645,False,
TOI_3505.01_50.000s_R-0200_aligned.fits,200,2459782.7483209199,3.6020666175,0.9927624285,0.9932896033,0.0018625066,441.7159042247,20.4497649823,1.0872359529,6251419.0585894994,1858.8547209954,1743.3049167713,False,
TOI_3505.01_50.000s_R-0201_aligned.fits,201,2459782.7490735962,3.6201308481,0.9994884013,1.0004894346,0.0018606672,441.8447677207,20.2249094991,1.0881832432,6274681.9090861492,1848.5994875568,1743.1078554483,False,
TOI_3505.01_50.000s_R-0202_aligned.fits,202,2459782.7498263419,3.6381967440,1.0035331502,1.0040642712,0.0018715656,443.6623343336,20.1487915106,1.0891514140,6248666.7906599483,1851.9538302066,1743.4482452156,False,
TOI_3505.01_50.000s_R-0203_aligned.fits,203,2459782.7505788938,3.6562579907,0.9999979449,1.0017922861,0.0018618980,442.9316546268,20.7496011304,1.0901402066,6279002.0989368828,1846.9655155842,1743.3933233517,False,
TOI_3505.01_50.000s_R-0204_aligned.fits,204,2459782.7513317387,3.6743262671,1.0028053968,1.0041372927,0.0018582425,443.0112973027,20.0516074581,1.0911503519,6299870.6931662774,1850.8641791499,1743.5437754342,False,
TOI_3505.01_50.000s_R-0205_aligned.fits,205,2459782.7520842613,3.6923868097,1.0008385783,1.0017437909,0.0018540569,443.3950152883,20.3719874721,1.0921811107,6312658.4696003664,1848.5599396996,1743.9516820091,False,
TOI_3505.01_50.000s_R-0206_aligned.fits,206,2459782.7528368193,3.7104482017,1.0030331324,1.0030377050,0.0018614275,445.0638632903,20.7880228457,1.0932330523,6295443.8221693523,1848.6452989046,1742.7832207815,False,
TOI_3505.01_50.000s_R-0207_aligned.fits,207,2459782.7535894997,3.7285125330,1.0003472259,1.0012355601,0.0018636368,446.1882636596,20.1115291775,1.0943063978,6289623.6426497623,1849.7890017376,1743.4696790277,False,
TOI_3505.01_50.000s_R-0208_aligned.fits,208,2459782.7543420116,3.7465728186,0.9996073123,1.0011859072,0.0018638778,447.3725496341,20.2665347757,1.0954008259,6293660.9355799118,1848.3446154070,1742.9087454709,False,
TOI_3505.01_50.000s_R-0209_aligned.fits,209,2459782.7550954781,3.7646560147,1.0011167124,1.0006346901,0.0018641896,448.0291510005,20.5379808607,1.0965180993,6296804.0315025775,1853.0010990994,1743.5819876072,False,
TOI_3505.01_50.000s_R-0210_aligned.fits,210,2459782.7558484720,3.7827278674,0.9999871702,1.0013451236,0.0018689334,448.3505611113,20.2969309278,1.0976562223,6279849.8846011739,1846.5068624603,1742.6325708508,False,
TOI_3505.01_50.000s_R-0211_aligned.fits,211,2459782.7566008535,3.8007850237,1.0015330812,1.0021514061,0.0018668180,448.6249897478,20.3959252532,1.0988150382,6293554.9893204262,1850.7654953159,1743.3419878711,False,
TOI_3505.01_50.000s_R-0212_aligned.fits,212,2459782.7573540136,3.8188608661,0.9987233861,0.9997615576,0.0018682593,450.3248546442,20.3936361967,1.0999968009,6290878.6016361509,1849.0840518864,1743.2234077654,False,
TOI_3505.01_50.000s_R-0213_aligned.fits,213,2459782.7581184660,3.8372077234,1.0043295501,1.0043485582,0.0018751416,452.1093892728,21.1831660243,1.1012186401,6283029.1321200998,1857.4130501155,1744.5977275578,False,
TOI_3505.01_50.000s_R-0214_aligned.fits,214,2459782.7588714752,3.8552799448,1.0021747076,1.0037901222,0.0018792768,453.5025029806,20.4854773647,1.1024443204,6271786.2259823559,1848.4452965987,1742.6240951941,False,
TOI_3505.01_50.000s_R-0215_aligned.fits,215,2459782.7596239583,3.8733395375,0.9994511239,0.9999145013,0.0019383479,464.8614501384,20.1092948067,1.1036911961,6096981.0428580921,1848.6556167571,1743.0696296920,False,
TOI_3505.01_50.000s_R-0216_aligned.fits,216,2459782.7603768315,3.8914084956,0.9991343264,0.9990361489,0.0019577356,469.0343492483,19.6422005372,1.1049608929,6045557.1214424251,1850.8200833052,1743.1972812767,False,
TOI_3505.01_50.000s_R-0217_aligned.fits,217,2459782.7611298510,3.9094809629,0.9992744801,1.0000232170,0.0020619868,486.0479862661,19.7012153594,1.1062531369,5769862.1678766757,1846.7280713126,1743.6166555821,False,
TOI_3505.01_50.000s_R-0218_aligned.fits,218,2459782.7618830381,3.9275574535,1.0076157237,1.0054932018,0.0021600406,498.2442229753,20.7823343030,1.1075680953,5529336.2251967322,1854.1952357557,1742.9631371345,False,
TOI_3505.01_50.000s_R-0219_aligned.fits,219,2459782.7626361796,3.9456328489,0.9956873195,0.9981294143,0.0020757632,489.4177368528,20.0365839425,1.1089055220,5734621.6304301042,1850.5559177131,1743.6260914836,False,
TOI_3505.01_50.000s_R-0220_aligned.fits,220,2459782.7633886291,3.9636916369,1.0035194510,1.0045896913,0.0019420985,468.7808724329,20.4466733770,1.1102643564,6110817.8606670564,1853.2496519996,1743.4667481365,False,
TOI_3505.01_50.000s_R-0221_aligned.fits,221,2459782.7641416239,3.9817635119,1.0000796508,1.0012336076,0.0019120636,465.9892712034,20.0298124594,1.1116469519,6205223.0988770276,1849.0652733825,1743.4400840871,False,
TOI_3505.01_50.000s_R-0222_aligned.fits,222,2459782.7648947048,3.9998374544,1.0014804982,1.0023956760,0.0019155586,467.2366104458,21.1653730624,1.1130526189,6200445.1032517841,1850.4648506356,1743.4037869158,False,
TOI_3505.01_50.000s_R-0223_aligned.fits,223,2459782.7656475282,4.0179052167,0.9981025159,0.9999496719,0.0019228188,469.6627462310,22.1510245060,1.1144808372,6178439.5324593782,1848.5170395883,1742.8338966941,False,
TOI_3505.01_50.000s_R-0224_aligned.fits,224,2459782.7664007670,4.0359829478,0.9982716140,0.9988258522,0.0019239761,472.0105525339,21.3809804539,1.1159330256,6187169.7602035571,1846.5440693525,1742.7370076459,False,
TOI_3505.01_50.000s_R-0225_aligned.fits,225,2459782.7671540114,4.0540608130,0.9989985532,0.9999409132,0.0019311392,474.0612183411,21.2149354682,1.1174085432,6171698.4503749683,1848.6655369802,1743.0842078286,False,
TOI_3505.01_50.000s_R-0226_aligned.fits,226,2459782.7679064879,4.0721202493,1.0002104512,1.0014691852,0.0019334218,475.8217301103,20.9193056979,1.1189059787,6174575.4555524634,1847.3848207310,1744.0707669138,False,
TOI_3505.01_50.000s_R-0227_aligned.fits,227,2459782.7686598850,4.0902017802,0.9993727754,1.0002242890,0.0019414059,477.1447953420,21.4634566297,1.1204288367,6148563.8460860951,1846.8110423720,1744.0203769266,False,
TOI_3505.01_50.000s_R-0228_aligned.fits,228,2459782.7694134377,4.1082870439,0.9999704853,1.0002037923,0.0019437624,479.1024640003,21.9798189381,1.1219757639,6149227.1089948621,1844.8363128987,1743.4329240483,False,
TOI_3505.01_50.000s_R-0229_aligned.fits,229,2459782.7701664320,4.1263589077,1.0011113726,1.0021188328,0.0019599191,481.5200271671,22.4456685963,1.1235454215,6105183.6568423845,1845.4802785917,1744.2701639486,False,
TOI_3505.01_50.000s_R-0230_aligned.fits,230,2459782.7709195474,4.1444336772,1.0067575751,1.0076157268,0.0019739616,484.6457402341,21.8236751330,1.1251393500,6082186.4444490662,1848.1818171873,1743.6325676312,False,
TOI_3505.01_50.000s_R-0231_aligned.fits,231,2459782.7716841977,4.1627852842,1.0011178539,1.0018665666,0.0020195201,493.1801627151,22.4939787807,1.1267824228,5951411.4180475418,1848.7309964034,1742.1516362883,False,
TOI_3505.01_50.000s_R-0232_aligned.fits,232,2459782.7724372265,4.1808579750,1.0035837244,1.0041660351,0.0020300998,497.2454972929,22.2580130880,1.1284250296,5938639.5359767508,1848.3095344794,1742.2415896929,False,
TOI_3505.01_50.000s_R-0233_aligned.fits,233,2459782.7731901570,4.1989283077,0.9996158917,1.0006104851,0.0020350294,499.3050895806,22.4766736834,1.1300918942,5925875.2312140288,1847.4460403097,1742.6722891664,False,
TOI_3505.01_50.000s_R-0234_aligned.fits,234,2459782.7739435956,4.2170108333,1.0004610991,1.0005183989,0.0025413023,502.2780670871,24.7828019718,1.1317845349,4591115.7549477741,1847.4135264001,1744.0749302541,False,
TOI_3505.01_50.000s_R-0235_aligned.fits,235,2459782.7746966756,4.2350847535,0.9998689754,1.0009976604,0.0021925211,521.7481598936,21.0671181954,1.1335011752,5531523.9731393196,1847.9491139476,1742.1311866387,False,
TOI_3505.01_50.000s_R-0236_aligned.fits,236,2459782.7754508555,4.2531850711,0.9999882680,1.0021224627,0.0021143111,513.3266428218,23.8526323427,1.1352453387,5732946.0093009779,1845.3239049304,1743.7245805417,False,
TOI_3505.01_50.000s_R-0237_aligned.fits,237,2459782.7762046782,4.2712768167,1.0012203790,1.0018236549,0.0021221945,517.9620802531,22.0118007940,1.1370138620,5730025.0530863283,1847.4754333054,1744.4591077280,False,
TOI_3505.01_50.000s_R-0238_aligned.fits,238,2459782.7769582062,4.2893614881,1.0024404483,1.0052811782,0.0022837744,538.8559543806,21.7910623965,1.1388070269,5353085.5912304018,1848.7092153109,1743.0425854892,False,
TOI_3505.01_50.000s_R-0239_aligned.fits,239,2459782.7777132667,4.3074829392,0.9950040015,0.9988447670,0.0024414695,565.3825186032,20.9252764087,1.1406294201,5052952.6681220103,1849.7349790121,1743.8737094854,False,
TOI_3505.01_50.000s_R-0240_aligned.fits,240,2459782.7784713698,4.3256774135,0.9962953436,0.9980490152,0.0023137658,554.0847948452,21.0241379672,1.1424850956,5324734.3526387140,1843.9210367610,1743.2412451352,False,
TOI_3505.01_50.000s_R-0241_aligned.fits,241,2459782.7792286621,4.3438524306,0.9960800866,0.9997327461,0.0027059173,599.9388269119,20.8717556947,1.1443649199,4617216.9687967086,1848.4302366209,1744.1380057736,False,
TOI_3505.01_50.000s_R-0242_aligned.fits,242,2459782.7799883364,4.3620846123,1.0002011738,1.0036842617,0.0033598040,651.3569567249,21.5505594011,1.1462770835,3771402.5118961786,1848.4245926531,1742.7769051568,False,
TOI_3505.01_50.000s_R-0243_aligned.fits,243,2459782.7807455729,4.3802582882,0.9970249984,1.0027032090,0.0038385139,684.6358451166,22.6375665995,1.1482096432,3334370.4902247381,1848.7127905259,1742.9729884348,False,
TOI_3505.01_50.000s_R-0244_aligned.fits,244,2459782.7814999372,4.3983630314,0.9821363749,0.9831281006,0.0040458945,693.5615608510,22.0757334543,1.1501614000,3156007.2737263283,1849.1310722395,1743.6507230820,True,unusual target brightness
TOI_3505.01_50.000s_R-0245_aligned.fits,245,2459782.7822548579,4.4164811298,1.0066732900,1.0033952231,0.0038568179,691.4232775818,31.4580106876,1.1521412984,3332407.5890394859,1849.7012048456,1756.0696959365,True,large star width
TOI_3505.01_50.000s_R-0246_aligned.fits,246,2459782.7830085154,4.4345689081,1.0006646567,1.0050724271,0.0033016728,659.0538249474,20.2113696847,1.1541447230,3864792.8642816897,1853.5460407646,1742.3630608827,False,
TOI_3505.01_50.000s_R-0247_aligned.fits,247,2459782.7837648145,4.4527200870,0.9901282195,0.9859955115,0.0030116530,628.3797977869,20.2393495878,1.1561823274,4164078.1070284662,1851.1858434562,1743.2234852813,False,
TOI_3505.01_50.000s_R-0248_aligned.fits,248,2459782.7845243327,4.4709485248,0.9979153569,0.9995133365,0.0025119328,580.6556530487,20.4026002968,1.1582561920,4948682.8229200030,1850.4249092411,1743.8253000529,False,
TOI_3505.01_50.000s_R-0249_aligned.fits,249,2459782.7852845681,4.4891941734,0.9907528240,0.9924020464,0.0022410033,552.2221831341,20.9859676947,1.1603599082,5510401.3841474671,1846.2794286497,1745.2032824743,False,
TOI_3505.01_50.000s_R-0250_aligned.fits,250,2459782.7860405776,4.5073384009,0.9954184617,1.0012124614,0.0025588033,580.8243665526,21.3306439661,1.1624798203,4851452.9170499574,1853.2303644805,1744.7995288674,False,
TOI_3505.01_50.000s_R-0251_aligned.fits,251,2459782.7868010262,4.5255891681,0.9914931519,0.9946092967,0.0030378665,617.1843217642,21.2354093130,1.1646404530,4102828.9417172507,1850.2272532093,1743.5467046598,False,
TOI_3505.01_50.000s_R-0252_aligned.fits,252,2459782.7875607163,4.5438217297,0.9992185188,1.0010379877,0.0031029538,624.2748727542,21.1478875719,1.1668274681,4033408.8220703877,1851.7371248698,1743.5176842228,False,
TOI_3505.01_50.000s_R-0253_aligned.fits,253,2459782.7883201572,4.5620483123,0.9881894720,0.9908660546,0.0031575949,593.4855280406,24.4544300726,1.1690425000,3859065.4042115682,1849.3622860549,1744.4919748309,False,
TOI_3505.01_50.000s_R-0254_aligned.fits,254,2459782.7890817099,4.5803255774,0.9948332106,0.9918771374,0.0025203780,567.7477693109,21.4982739676,1.1712927699,4869980.5356945954,1846.7686014996,1742.1132137531,False,
TOI_3505.01_50.000s_R-0255_aligned.fits,255,2459782.7898395183,4.5985129774,1.0016510901,1.0027585248,0.0027178119,578.0814991793,22.6953705653,1.1735611163,4522819.9712515911,1850.2623792495,1743.5330067844,False,
TOI_3505.01_50.000s_R-0256_aligned.fits,256,2459782.7905998630,4.6167612523,1.0031836519,1.0034873304,0.0022743470,540.5940572382,20.8729388479,1.1758665063,5384579.7936555920,1846.8338854036,1744.3857456737,False,
TOI_3505.01_50.000s_R-0257_aligned.fits,257,2459782.7913538311,4.6348564848,1.0036700682,1.0057024727,0.0021703602,528.0194655349,23.3617426731,1.1781819293,5633338.2867674027,1846.2014175782,1743.3513417315,False,
TOI_3505.01_50.000s_R-0258_aligned.fits,258,2459782.7921076119,4.6529472247,0.9989329445,1.0012602011,0.0021953956,532.5746754674,22.2455876007,1.1805262542,5570006.7825371828,1844.7014567988,1743.6838367603,False,
TOI_3505.01_50.000s_R-0259_aligned.fits,259,2459782.7928616721,4.6710446700,0.9979358049,1.0015108212,0.0022713347,542.8607587730,21.9404681970,1.1829011809,5399407.5958370790,1847.6775429739,1742.1986519648,False,
TOI_3505.01_50.000s_R-0260_aligned.fits,260,2459782.7936161715,4.6891526543,0.9978436477,0.9983732595,0.0026027171,583.7874517089,21.3562410924,1.1853075024,4764038.9473546986,1847.2166895462,1743.2802584427,False,
TOI_3505.01_50.000s_R-0261_aligned.fits,261,2459782.7943770611,4.7074140050,0.9928257019,0.9984550245,0.0032904742,646.1293484026,21.9474654914,1.1877648679,3839406.2436945480,1849.3828159931,1744.9464797672,False,
TOI_3505.01_50.000s_R-0262_aligned.fits,262,2459782.7951350249,4.7256051376,0.9930235748,0.9888943710,0.0034615639,658.4508942874,22.9035443885,1.1902436600,3653002.4783027964,1851.9279267326,1743.4213533489,False,
TOI_3505.01_50.000s_R-0263_aligned.fits,263,2459782.7958915341,4.7437613569,0.9839091183,0.9861756289,0.0045990409,726.7586030259,20.9265255205,1.1927486874,2811147.2346658162,1854.6967046724,1745.4678067513,False,
TOI_3505.01_50.000s_R-0264_aligned.fits,264,2459782.7966453354,4.7618525885,0.9819488730,0.9868986252,0.0044279070,720.7414874912,21.6621069313,1.1952758110,2916754.0693327738,1849.1517368917,1745.8829408569,False,
TOI_3505.01_50.000s_R-0265_aligned.fits,265,2459782.7973991074,4.7799431160,0.9898412299,0.9946964398,0.0044475687,731.9837909014,23.0696673394,1.1978341152,2928865.3686310053,1848.0548367473,1744.1149763378,False,
TOI_3505.01_50.000s_R-0266_aligned.fits,266,2459782.7981529119,4.7980344258,0.9969229534,0.9976461219,0.0078844668,865.2623595554,22.4445427363,1.2004240839,1739452.9696372431,1846.2102416661,1745.8390670384,True,low comparison-star counts
TOI_3505.01_50.000s_R-0267_aligned.fits,267,2459782.7989072786,4.8161392249,1.0014599480,1.0066126433,0.0057639081,795.6323556843,23.0116319201,1.2030478536,2320565.8230829677,1848.4147025388,1748.3044135246,True,low comparison-star counts
TOI_3505.01_50.000s_R-0268_aligned.fits,268,2459782.7996603507,4.8342129551,1.0099324124,1.0190439074,0.0065470550,809.9207963994,22.6927700817,1.2056992047,2052814.7508746549,1850.2027505703,1741.1885406164,True,unusual target brightness; low comparison-star counts
TOI_3505.01_50.000s_R-0269_aligned.fits,269,2459782.8004136644,4.8522924855,0.9767447984,0.9711411178,0.0058201045,799.4904108234,20.8298616767,1.2083837654,2285987.0609163963,1847.3700879023,1739.7431842881,True,unusual target brightness; low comparison-star counts
TOI_3505.01_50.000s_R-0270_aligned.fits,270,2459782.8011668329,4.8703685291,0.9979420061,1.0054626872,0.0096063635,896.7850730192,21.7627865612,1.2111004597,1445564.5714058285,1850.3718339850,1737.9808909582,True,low comparison-star counts
TOI_3505.01_50.000s_R-0271_aligned.fits,271,2459782.8019205416,4.8884575367,0.9900488251,0.9867813724,0.0068809487,826.6328611750,22.8129962698,1.2138520829,1956047.7870798102,1845.5805381960,1740.6426691020,True,low comparison-star counts
TOI_3505.01_50.000s_R-0272_aligned.fits,272,2459782.8026749203,4.9065626264,0.9957246947,0.9960189534,0.0051486573,766.0812126965,22.3663729077,1.2166394932,2563935.9621542278,1848.0088738197,1745.4381872386,True,low comparison-star counts
TOI_3505.01_50.000s_R-0273_aligned.fits,273,2459782.8034281861,4.9246410057,0.9963054179,0.9948142390,0.0058942648,793.7472568908,23.6809442394,1.2194563823,2259074.7274364592,1848.9947208986,1741.8129018097,True,low comparison-star counts
TOI_3505.01_50.000s_R-0274_aligned.fits,274,2459782.8041823604,4.9427411892,0.9778594470,0.9784959687,0.0054756486,783.3825479772,21.0449165250,1.2223106106,2419114.8332959362,1853.3701970038,1743.3488708883,True,unusual target brightness; low comparison-star counts
TOI_3505.01_50.000s_R-0275_aligned.fits,275,2459782.8049353827,4.9608137235,1.0000000000,0.9977296813,0.0065878170,830.9680611772,22.3844283887,1.2251946809,2056770.1842492218,1851.2282565294,1741.7696318330,True,low comparison-star counts
TOI_3505.01_50.000s_R-0276_aligned.fits,276,2459782.8056891970,4.9789052680,0.9991766517,0.9996339037,0.0080484615,876.2952421922,22.4746083572,1.2281163434,1714516.1353504681,1849.8978580922,1745.3929545150,True,low comparison-star counts
TOI_3505.01_50.000s_R-0277_aligned.fits,277,2459782.8064434510,4.9970073625,0.9871532380,0.9851368481,0.0077383978,873.1153985535,22.9590117917,1.2310746461,1777729.4912162879,1848.0464831055,1745.9373472398,True,low comparison-star counts
TOI_3505.01_50.000s_R-0278_aligned.fits,278,2459782.8071970316,5.0150932968,0.9825675059,0.9824809623,0.0048152366,763.6592006940,23.0274725460,1.2340655442,2741089.8219116926,1848.7138233492,1742.4169386194,True,unusual target brightness
TOI_3505.01_50.000s_R-0279_aligned.fits,279,2459782.8079504250,5.0331747383,0.9915380843,0.9922488083,0.0053149079,779.4501709388,25.8097527063,1.2370912488,2498652.0101738507,1850.3222585138,1742.8973048802,True,low comparison-star counts
TOI_3505.01_50.000s_R-0280_aligned.fits,280,2459782.8087046882,5.0512770563,0.9925490023,0.9960776970,0.0050902892,775.8379106529,25.2744744469,1.2401564019,2612263.5097166896,1852.6440770093,1743.3890485515,True,low comparison-star counts
TOI_3505.01_50.000s_R-0281_aligned.fits,281,2459782.8094587056,5.0693734735,0.9932364555,0.9951477071,0.0061870496,826.4792674197,24.4732461808,1.2432568683,2190047.4474248691,1853.3289294899,1743.8780234645,True,low comparison-star counts
